"event","n_0","y_0","n_1","y_1","true_gamma","flag"
94,250000,11168,500,39,2.02331226495843,"include"
95,250000,11049,500,16,0.933644254407781,"include"
96,250000,13076,500,16,1.20041922786059,"include"
97,250000,13359,500,19,0.818943689331187,"include"
98,250000,13009,500,31,1.20946986576001,"include"
99,250000,11983,500,16,0.835593416892602,"include"
100,250000,10838,500,14,0.892226307727071,"include"
101,250000,13820,500,31,0.894432109099961,"include"
102,250000,10550,500,25,0.948930606669611,"include"
103,250000,9844,500,14,0.871074238232007,"include"
104,250000,13080,500,17,1.02433395620481,"include"
105,250000,11201,500,30,0.93415222887944,"include"
106,250000,11848,500,22,0.765969389647283,"include"
107,250000,12210,500,61,2.50019229329544,"include"
108,250000,13232,500,37,0.946376176039583,"include"
109,250000,8626,500,54,3.66954049772259,"include"
110,250000,12399,500,26,1.06432264564778,"include"
111,250000,12435,500,15,0.581614377869573,"include"
112,250000,14002,500,19,0.640117552323654,"include"
113,250000,15018,500,30,1.12356251474738,"include"
114,250000,11264,500,18,0.724300854899212,"include"
115,250000,13901,500,147,5.38218240925073,"include"
116,250000,11971,500,26,1.06580913265967,"include"
117,250000,13743,500,37,1.07532264296912,"include"
118,250000,14516,500,24,0.937790407468554,"include"
119,250000,14356,500,66,2.72825958097383,"include"
120,250000,15397,500,28,1.05219879836256,"include"
121,250000,11394,500,41,2.31516562590074,"include"
122,250000,13268,500,74,3.04156171304828,"include"
123,250000,11553,500,27,1.04501678870407,"include"
124,250000,14184,500,20,0.836502634581666,"include"
125,250000,12573,500,72,3.36347655487354,"include"
126,250000,12489,500,27,1.18114826457946,"include"
127,250000,12437,500,24,1.0124573358385,"include"
128,250000,12006,500,15,0.906643476349854,"include"
129,250000,13304,500,24,0.931306629694986,"include"
130,250000,14219,500,122,3.71477426527909,"include"
131,250000,12382,500,26,1.10930307891593,"include"
132,250000,14143,500,22,0.903726021145586,"include"
133,250000,11649,500,59,2.84475920022533,"include"
134,250000,12354,500,32,1.04862128183882,"include"
135,250000,12827,500,27,1.04724361220352,"include"
136,250000,11870,500,106,4.55093613801672,"include"
137,250000,13359,500,32,1.01602461256335,"include"
138,250000,10380,500,17,1.21510622960887,"include"
139,250000,12682,500,23,1.09107220961981,"include"
140,250000,14567,500,31,0.923093672648005,"include"
141,250000,13882,500,25,0.927401213469691,"include"
142,250000,12647,500,91,3.33618105520555,"include"
143,250000,13681,500,125,4.21471419134294,"include"
144,250000,12117,500,59,2.53463632488316,"include"
145,250000,13223,500,34,1.14343981841629,"include"
146,250000,12383,500,56,2.4865768420725,"include"
147,250000,12190,500,27,1.08484356282446,"include"
148,250000,13122,500,21,1.02465763539276,"include"
149,250000,14085,500,27,1.12344525740027,"include"
150,250000,11894,500,108,4.5260082780816,"include"
151,250000,13194,500,33,1.75565144486092,"include"
152,250000,14542,500,31,1.01486721387027,"include"
153,250000,10981,500,16,0.963623166008612,"include"
154,250000,13771,500,23,0.930113909652216,"include"
155,250000,11272,500,19,0.792585134096547,"include"
156,250000,11941,500,37,1.24778653228373,"include"
157,250000,13504,500,23,0.972282446196526,"include"
158,250000,12646,500,21,0.880280942787825,"include"
159,250000,12890,500,79,2.90043656325224,"include"
160,250000,12351,500,12,1.0479833911112,"include"
161,250000,10593,500,18,0.842429354822742,"include"
162,250000,12271,500,36,1.17221107850143,"include"
163,250000,10616,500,22,1.10416785196492,"include"
164,250000,12102,500,28,0.966741720212724,"include"
165,250000,12985,500,27,1.14183033602561,"include"
166,250000,10211,500,25,1.35187863906144,"include"
167,250000,11549,500,56,2.17318858253092,"include"
168,250000,12209,500,20,0.928675541031501,"include"
169,250000,13756,500,17,0.805750077976084,"include"
170,250000,12928,500,103,3.49972516946063,"include"
171,250000,11094,500,32,0.893549452383055,"include"
172,250000,12243,500,20,1.0373844255378,"include"
173,250000,14570,500,30,1.08924879420032,"include"
174,250000,11412,500,33,1.26309274663292,"include"
175,250000,12334,500,22,0.896370333836246,"include"
176,250000,12651,500,28,1.0067047739051,"include"
177,250000,12617,500,146,5.66162867934026,"include"
178,250000,14288,500,32,1.15831573211581,"include"
179,250000,10260,500,25,1.19078606145851,"include"
180,250000,9041,500,16,1.02524659176578,"include"
181,250000,14422,500,34,1.03457093799085,"include"
182,250000,14235,500,42,1.59030238929377,"include"
183,250000,12191,500,25,1.16677200876293,"include"
184,250000,11549,500,26,0.912208433527899,"include"
185,250000,15989,500,137,4.08880930686183,"include"
186,250000,13646,500,25,0.921626510302348,"include"
187,250000,11769,500,20,1.11380901246783,"include"
188,250000,12770,500,79,3.02725027028392,"include"
189,250000,14502,500,30,1.17946864395333,"include"
190,250000,12050,500,27,0.862857181038673,"include"
191,250000,15533,500,38,1.06190954643453,"include"
192,250000,11951,500,48,2.19415885570224,"include"
193,250000,12791,500,91,3.16269862336393,"include"
194,250000,13005,500,19,0.975644360630152,"include"
195,250000,13163,500,27,1.06396813104425,"include"
196,250000,14389,500,82,2.31812240286453,"include"
197,250000,13761,500,58,1.77552074388085,"include"
198,250000,12896,500,22,0.901007985119133,"include"
199,250000,13286,500,24,0.732118793090918,"include"
200,250000,11673,500,36,1.70696145923658,"include"
